S0, MC, AT, Avg, Diff
99, 3.51831001798771, 3.5172008952684273, 3.517755456628069, 0.0011091227192827624
119.5, 3.6453356390527225, 3.6445976490648424, 3.6449666440587825, 0.0007379899878801055
96.25, 3.086762092166983, 3.087298675581956, 3.0870303838744695, 0.0005365834149726467
138.75, 0, 0, 0, 0
104.25, 4.193598473540207, 4.192592953617138, 4.193095713578672, 0.001005519923069187
103.5, 4.112450496593798, 4.112630562312564, 4.112540529453181, 0.00018006571876583166
97, 3.2084026038256495, 3.2078096698602443, 3.2081061368429467, 0.0005929339654051624
127.5, 1.1355725481412327, 1.1354881540269486, 1.1355303510840906, 0.00008439411428406984
84, 1.2186887147734429, 1.2197587032541273, 1.219223709013785, 0.0010699884806844029
100.5, 3.735893252760367, 3.7358653560561144, 3.7358793044082406, 0.000027896704252849958
100.25, 3.7003818003422233, 3.7006675255662818, 3.7005246629542525, 0.0002857252240584529
134.75, 0, 0, 0, 0
89.5, 1.9929892713094441, 1.9932084281738884, 1.9930988497416662, 0.00021915686444429205
129.25, 0.35802266229389335, 0.3579947674304249, 0.3580087148621591, 0.00002789486346843617
110.5, 4.532783461041317, 4.534416375417971, 4.533599918229644, 0.0016329143766533605
85, 1.3466229955319424, 1.3462406560998086, 1.3464318258158756, 0.00038233943213383803
67.5, 0.10798580673099534, 0.10791018697681343, 0.10794799685390438, 0.00007561975418191036
99.75, 3.626316924743328, 3.6276371916881276, 3.6269770582157275, 0.0013202669447998083
90.5, 2.150970642353063, 2.149211274861354, 2.1500909586072083, 0.0017593674917089075
120, 3.5362226772046674, 3.5365719609973336, 3.5363973191010007, 0.0003492837926661885
127.25, 1.2399789793142233, 1.2398146731301476, 1.2398968262221854, 0.00016430618407570208
108.5, 4.495874235483273, 4.495559461172552, 4.495716848327913, 0.0003147743107208001
102.5, 3.9957364447098387, 3.9965812134305696, 3.996158829070204, 0.0008447687207309151
102.75, 4.0278937974456, 4.0284198157555196, 4.02815680660056, 0.000526018309919607
134.5, 0, 0, 0, 0
118, 3.9272216022051647, 3.927007218686801, 3.9271144104459825, 0.00021438351836389202
106, 4.351276155715486, 4.349968006128257, 4.350622080921871, 0.001308149587229579
103, 4.0569892578657205, 4.055388999327349, 4.056189128596534, 0.0016002585383718682
120.25, 3.4808130479046144, 3.4810863812859982, 3.4809497145953063, 0.00027333338138380014
107.75, 4.461948037656375, 4.461882291647565, 4.46191516465197, 0.00006574600881048553
117.25, 4.046815579036522, 4.0465580414923945, 4.046686810264458, 0.00025753754412782826
102.25, 3.965210272720308, 3.966766092757066, 3.9659881827386867, 0.0015558200367578046
104, 4.166278906447449, 4.167504631404333, 4.1668917689258915, 0.0012257249568845552
100, 3.664606463480183, 3.66382134549748, 3.6642139044888316, 0.0007851179827031984
71.75, 0.23761130504885128, 0.23735094369578555, 0.23748112437231841, 0.00026036135306573005
63.75, 0.047627158411719606, 0.04780015012466284, 0.04771365426819123, 0.0001729917129432365
108, 4.4738955974364165, 4.473832794651448, 4.473864196043932, 0.00006280278496895164
111.25, 4.530574160992842, 4.529114068384933, 4.5298441146888875, 0.0014600926079086918
97.5, 3.286209563178831, 3.2861041165791924, 3.2861568398790117, 0.00010544659963862557
93, 2.55444911324303, 2.5548261830505155, 2.5546376481467727, 0.0003770698074854195
70.5, 0.19118912757302323, 0.1908505282843887, 0.19101982792870598, 0.00033859928863452793
105, 4.2650439234600395, 4.265330815489626, 4.265187369474832, 0.0002868920295862054
116.25, 4.184824789240619, 4.18611558829588, 4.1854701887682495, 0.0012907990552601945
